"";"nest";"population";"species";"lat";"lon";"filename_forward";"PCR_run";"SRA_Run";"readID"
"BC13";"A_5";"A";"sarasinorum";"14.7825";"74.5723";"BC13_S13_L001_R1_001.fastq.gz";0;"SRR6489678";"BC13"
"BC140";"RAO_41";"RAO";"sarasinorum";"27.6985";"76.7439";"BC140_S140_L001_R1_001.fastq.gz";0;NA;"BC140"
"BC142";"RAO_41";"RAO";"sarasinorum";"27.6985";"76.7439";"BC142_S142_L001_R1_001.fastq.gz";0;NA;"BC142"
"BC143";"RAO_41";"RAO";"sarasinorum";"27.6985";"76.7439";"BC143_S143_L001_R1_001.fastq.gz";0;"SRR6489699";"BC143"
"BC144";"RAO_41";"RAO";"sarasinorum";"27.6985";"76.7439";"BC144_S144_L001_R1_001.fastq.gz";0;"SRR6489698";"BC144"
"BC148";"D_5";"D";"sarasinorum";"13.0259";"77.5643";"BC148_S148_L001_R1_001.fastq.gz";0;NA;"BC148"
"BC149";"D_5";"D";"sarasinorum";"13.0259";"77.5643";"BC149_S149_L001_R1_001.fastq.gz";0;"SRR6489640";"BC149"
"BC14";"A_5";"A";"sarasinorum";"14.7825";"74.5723";"BC14_S14_L001_R1_001.fastq.gz";0;"SRR6489679";"BC14"
"BC164";"D_10";"D";"sarasinorum";"13.0259";"77.5643";"BC164_S164_L001_R1_001.fastq.gz";0;"SRR6489657";"BC164"
"BC165";"D_10";"D";"sarasinorum";"13.0259";"77.5643";"BC165_S165_L001_R1_001.fastq.gz";0;"SRR6489656";"BC165"
"BC166";"D_10";"D";"sarasinorum";"13.0259";"77.5643";"BC166_S166_L001_R1_001.fastq.gz";0;"SRR6489642";"BC166"
"BC174";"D_24";"D";"sarasinorum";"13.0259";"77.5643";"BC174_S174_L001_R1_001.fastq.gz";0;"SRR6489644";"BC174"
"BC175";"D_24";"D";"sarasinorum";"13.0259";"77.5643";"BC175_S175_L001_R1_001.fastq.gz";0;"SRR6489645";"BC175"
"BC176";"D_24";"D";"sarasinorum";"13.0259";"77.5643";"BC176_S176_L001_R1_001.fastq.gz";0;"SRR6489638";"BC176"
"BC179";"SriLanka_1";"SriLanka";"sarasinorum";"6.180875";"81.049816";"BC179_S179_L001_R1_001.fastq.gz";0;"SRR6489700";"BC179"
"BC17";"A_14";"A";"sarasinorum";"14.7825";"74.5723";"BC17_S17_L001_R1_001.fastq.gz";0;"SRR6489707";"BC17"
"BC18";"A_14";"A";"sarasinorum";"14.7825";"74.5723";"BC18_S18_L001_R1_001.fastq.gz";0;"SRR6489706";"BC18"
"BC19";"A_14";"A";"sarasinorum";"14.7825";"74.5723";"BC19_S19_L001_R1_001.fastq.gz";0;"SRR6489705";"BC19"
"BC1";"A_1";"A";"sarasinorum";"14.7825";"74.5723";"BC1_S1_L001_R1_001.fastq.gz";0;"SRR6489712";"BC1"
"BC20";"A_14";"A";"sarasinorum";"14.7825";"74.5723";"BC20_S20_L001_R1_001.fastq.gz";0;"SRR6489714";"BC20"
"BC21";"A_24";"A";"sarasinorum";"14.7825";"74.5723";"BC21_S21_L001_R1_001.fastq.gz";0;"SRR6489696";"BC21"
"BC22";"A_24";"A";"sarasinorum";"14.7825";"74.5723";"BC22_S22_L001_R1_001.fastq.gz";0;"SRR6489691";"BC22"
"BC23";"A_24";"A";"sarasinorum";"14.7825";"74.5723";"BC23_S23_L001_R1_001.fastq.gz";0;"SRR6489690";"BC23"
"BC24";"A_24";"A";"sarasinorum";"14.7825";"74.5723";"BC24_S24_L001_R1_001.fastq.gz";0;"SRR6489693";"BC24"
"BC25";"A_24";"A";"sarasinorum";"14.7825";"74.5723";"BC25_S25_L001_R1_001.fastq.gz";0;"SRR6489692";"BC25"
"BC26";"B_1";"B";"sarasinorum";"15.4872";"74.976";"BC26_S26_L001_R1_001.fastq.gz";0;NA;"BC26"
"BC27";"B_1";"B";"sarasinorum";"15.4872";"74.976";"BC27_S27_L001_R1_001.fastq.gz";0;NA;"BC27"
"BC28";"B_1";"B";"sarasinorum";"15.4872";"74.976";"BC28_S28_L001_R1_001.fastq.gz";0;"SRR6489681";"BC28"
"BC29";"B_1";"B";"sarasinorum";"15.4872";"74.976";"BC29_S29_L001_R1_001.fastq.gz";0;NA;"BC29"
"BC2";"A_1";"A";"sarasinorum";"14.7825";"74.5723";"BC2_S2_L001_R1_001.fastq.gz";0;"SRR6489711";"BC2"
"BC30";"B_1";"B";"sarasinorum";"15.4872";"74.976";"BC30_S30_L001_R1_001.fastq.gz";0;NA;"BC30"
"BC31";"B_2";"B";"sarasinorum";"15.4872";"74.976";"BC31_S31_L001_R1_001.fastq.gz";0;"SRR6489686";"BC31"
"BC32";"B_2";"B";"sarasinorum";"15.4872";"74.976";"BC32_S32_L001_R1_001.fastq.gz";0;NA;"BC32"
"BC33";"B_2";"B";"sarasinorum";"15.4872";"74.976";"BC33_S33_L001_R1_001.fastq.gz";0;"SRR6489687";"BC33"
"BC34";"B_2";"B";"sarasinorum";"15.4872";"74.976";"BC34_S34_L001_R1_001.fastq.gz";0;"SRR6489675";"BC34"
"BC35";"B_2";"B";"sarasinorum";"15.4872";"74.976";"BC35_S35_L001_R1_001.fastq.gz";0;"SRR6489674";"BC35"
"BC36";"B_11";"B";"sarasinorum";"15.4872";"74.976";"BC36_S36_L001_R1_001.fastq.gz";0;"SRR6489682";"BC36"
"BC37";"B_11";"B";"sarasinorum";"15.4872";"74.976";"BC37_S37_L001_R1_001.fastq.gz";0;"SRR6489683";"BC37"
"BC38";"B_11";"B";"sarasinorum";"15.4872";"74.976";"BC38_S38_L001_R1_001.fastq.gz";0;"SRR6489684";"BC38"
"BC3";"A_1";"A";"sarasinorum";"14.7825";"74.5723";"BC3_S3_L001_R1_001.fastq.gz";0;"SRR6489710";"BC3"
"BC43";"B_14";"B";"sarasinorum";"15.4872";"74.976";"BC43_S43_L001_R1_001.fastq.gz";0;NA;"BC43"
"BC44";"B_14";"B";"sarasinorum";"15.4872";"74.976";"BC44_S44_L001_R1_001.fastq.gz";0;NA;"BC44"
"BC49";"B_30";"B";"sarasinorum";"15.4872";"74.976";"BC49_S49_L001_R1_001.fastq.gz";0;"SRR6489673";"BC49"
"BC4";"A_1";"A";"sarasinorum";"14.7825";"74.5723";"BC4_S4_L001_R1_001.fastq.gz";0;"SRR6489709";"BC4"
"BC50";"B_30";"B";"sarasinorum";"15.4872";"74.976";"BC50_S50_L001_R1_001.fastq.gz";0;"SRR6489672";"BC50"
"BC52";"C_1";"C";"sarasinorum";"15.4872";"74.976";"BC52_S52_L001_R1_001.fastq.gz";0;"SRR6489668";"BC52"
"BC53";"C_1";"C";"sarasinorum";"15.4872";"74.976";"BC53_S53_L001_R1_001.fastq.gz";0;"SRR6489677";"BC53"
"BC55";"C_1";"C";"sarasinorum";"15.4872";"74.976";"BC55_S55_L001_R1_001.fastq.gz";0;"SRR6489676";"BC55"
"BC57";"C_10";"C";"sarasinorum";"15.4872";"74.976";"BC57_S57_L001_R1_001.fastq.gz";0;"SRR6489658";"BC57"
"BC58";"C_10";"C";"sarasinorum";"15.4872";"74.976";"BC58_S58_L001_R1_001.fastq.gz";0;"SRR6489659";"BC58"
"BC59";"C_10";"C";"sarasinorum";"15.4872";"74.976";"BC59_S59_L001_R1_001.fastq.gz";0;"SRR6489664";"BC59"
"BC61";"C_12";"C";"sarasinorum";"15.4872";"74.976";"BC61_S61_L001_R1_001.fastq.gz";0;"SRR6489662";"BC61"
"BC62";"C_12";"C";"sarasinorum";"15.4872";"74.976";"BC62_S62_L001_R1_001.fastq.gz";0;"SRR6489663";"BC62"
"BC63";"C_12";"C";"sarasinorum";"15.4872";"74.976";"BC63_S63_L001_R1_001.fastq.gz";0;"SRR6489666";"BC63"
"BC67";"C_22";"C";"sarasinorum";"15.4872";"74.976";"BC67_S67_L001_R1_001.fastq.gz";0;"SRR6489649";"BC67"
"BC68";"C_22";"C";"sarasinorum";"15.4872";"74.976";"BC68_S68_L001_R1_001.fastq.gz";0;"SRR6489648";"BC68"
"BC69";"C_22";"C";"sarasinorum";"15.4872";"74.976";"BC69_S69_L001_R1_001.fastq.gz";0;"SRR6489651";"BC69"
"BC6";"A_2";"A";"sarasinorum";"14.7825";"74.5723";"BC6_S6_L001_R1_001.fastq.gz";0;"SRR6489695";"BC6"
"BC72";"C_26";"C";"sarasinorum";"15.4872";"74.976";"BC72_S72_L001_R1_001.fastq.gz";0;"SRR6489653";"BC72"
"BC74";"C_26";"C";"sarasinorum";"15.4872";"74.976";"BC74_S74_L001_R1_001.fastq.gz";0;"SRR6489652";"BC74"
"BC76";"E_1";"E";"sarasinorum";"13.0259";"77.5643";"BC76_S76_L001_R1_001.fastq.gz";0;"SRR6489647";"BC76"
"BC77";"E_1";"E";"sarasinorum";"13.0259";"77.5643";"BC77_S77_L001_R1_001.fastq.gz";0;NA;"BC77"
"BC78";"E_1";"E";"sarasinorum";"13.0259";"77.5643";"BC78_S78_L001_R1_001.fastq.gz";0;NA;"BC78"
"BC79";"E_1";"E";"sarasinorum";"13.0259";"77.5643";"BC79_S79_L001_R1_001.fastq.gz";0;"SRR6489730";"BC79"
"BC7";"A_2";"A";"sarasinorum";"14.7825";"74.5723";"BC7_S7_L001_R1_001.fastq.gz";0;NA;"BC7"
"BC85";"E_6";"E";"sarasinorum";"13.0259";"77.5643";"BC85_S85_L001_R1_001.fastq.gz";0;NA;"BC85"
"BC86";"E_6";"E";"sarasinorum";"13.0259";"77.5643";"BC86_S86_L001_R1_001.fastq.gz";0;NA;"BC86"
"BC88";"E_6";"E";"sarasinorum";"13.0259";"77.5643";"BC88_S88_L001_R1_001.fastq.gz";0;NA;"BC88"
"BC89";"E_6";"E";"sarasinorum";"13.0259";"77.5643";"BC89_S89_L001_R1_001.fastq.gz";0;NA;"BC89"
"BC8";"A_2";"A";"sarasinorum";"14.7825";"74.5723";"BC8_S8_L001_R1_001.fastq.gz";0;"SRR6489694";"BC8"
"BC90";"E_18";"E";"sarasinorum";"13.0259";"77.5643";"BC90_S90_L001_R1_001.fastq.gz";0;NA;"BC90"
"BC91";"E_18";"E";"sarasinorum";"13.0259";"77.5643";"BC91_S91_L001_R1_001.fastq.gz";0;NA;"BC91"
"BC92";"E_18";"E";"sarasinorum";"13.0259";"77.5643";"BC92_S92_L001_R1_001.fastq.gz";0;"SRR6489728";"BC92"
"BC93";"E_18";"E";"sarasinorum";"13.0259";"77.5643";"BC93_S93_L001_R1_001.fastq.gz";0;NA;"BC93"
"BC95";"E_23";"E";"sarasinorum";"13.0259";"77.5643";"BC95_S95_L001_R1_001.fastq.gz";0;"SRR6489727";"BC95"
"BC96";"E_23";"E";"sarasinorum";"13.0259";"77.5643";"BC96_S96_L001_R1_001.fastq.gz";0;"SRR6489734";"BC96"
"BC97";"E_23";"E";"sarasinorum";"13.0259";"77.5643";"BC97_S97_L001_R1_001.fastq.gz";0;"SRR6489733";"BC97"
"BC98";"E_23";"E";"sarasinorum";"13.0259";"77.5643";"BC98_S98_L001_R1_001.fastq.gz";0;"SRR6489732";"BC98"
"BC99";"E_23";"E";"sarasinorum";"13.0259";"77.5643";"BC99_S99_L001_R1_001.fastq.gz";0;"SRR6489731";"BC99"
"BC9";"A_2";"A";"sarasinorum";"14.7825";"74.5723";"BC9_S9_L001_R1_001.fastq.gz";0;"SRR6489697";"BC9"
"BC100";"RAO_17";"RAO";"sarasinorum";"27.6985";"76.7439";"BC100_S149_L001_R1_001.fastq.gz";1;NA;"BC100"
"BC101";"RAO_17";"RAO";"sarasinorum";"27.6985";"76.7439";"BC101_S150_L001_R1_001.fastq.gz";1;"SRR6489721";"BC101"
"BC102";"RAO_17";"RAO";"sarasinorum";"27.6985";"76.7439";"BC102_S151_L001_R1_001.fastq.gz";1;NA;"BC102"
"BC103";"RAO_17";"RAO";"sarasinorum";"27.6985";"76.7439";"BC103_S152_L001_R1_001.fastq.gz";1;NA;"BC103"
"BC104";"RAO_17";"RAO";"sarasinorum";"27.6985";"76.7439";"BC104_S153_L001_R1_001.fastq.gz";1;"SRR6489722";"BC104"
"BC108";"RAO_22";"RAO";"sarasinorum";"27.6985";"76.7439";"BC108_S154_L001_R1_001.fastq.gz";1;NA;"BC108"
"BC110";"RAO_35";"RAO";"sarasinorum";"27.6985";"76.7439";"BC110_S155_L001_R1_001.fastq.gz";1;NA;"BC110"
"BC112";"RAO_35";"RAO";"sarasinorum";"27.6985";"76.7439";"BC112_S156_L001_R1_001.fastq.gz";1;"SRR6489719";"BC112"
"BC113";"RAO_35";"RAO";"sarasinorum";"27.6985";"76.7439";"BC113_S157_L001_R1_001.fastq.gz";1;NA;"BC113"
"BC117";"RAO_36";"RAO";"sarasinorum";"27.6985";"76.7439";"BC117_S158_L001_R1_001.fastq.gz";1;"SRR6489720";"BC117"
"BC154";"Himalaya_1";"Himalaya";"sarasinorum";"30.880678";"78.558679";"BC154_S160_L001_R1_001.fastq.gz";1;"SRR6489725";"BC154"
"BC159";"D_7";"D";"sarasinorum";"13.0259";"77.5643";"BC159_S161_L001_R1_001.fastq.gz";1;NA;"BC159"
"BC15";"A_5";"A";"sarasinorum";"14.7825";"74.5723";"BC15_S139_L001_R1_001.fastq.gz";1;"SRR6489680";"BC15"
"BC160";"D_7";"D";"sarasinorum";"13.0259";"77.5643";"BC160_S162_L001_R1_001.fastq.gz";1;NA;"BC160"
"BC161";"D_7";"D";"sarasinorum";"13.0259";"77.5643";"BC161_S163_L001_R1_001.fastq.gz";1;"SRR6489641";"BC161"
"BC162";"D_7";"D";"sarasinorum";"13.0259";"77.5643";"BC162_S164_L001_R1_001.fastq.gz";1;NA;"BC162"
"BC163";"D_7";"D";"sarasinorum";"13.0259";"77.5643";"BC163_S165_L001_R1_001.fastq.gz";1;"SRR6489646";"BC163"
"BC167";"D_10";"D";"sarasinorum";"13.0259";"77.5643";"BC167_S166_L001_R1_001.fastq.gz";1;"SRR6489643";"BC167"
"BC168";"D_10";"D";"sarasinorum";"13.0259";"77.5643";"BC168_S167_L001_R1_001.fastq.gz";1;NA;"BC168"
"BC169";"D_16";"D";"sarasinorum";"13.0259";"77.5643";"BC169_S168_L001_R1_001.fastq.gz";1;NA;"BC169"
"BC16";"A_14";"A";"sarasinorum";"14.7825";"74.5723";"BC16_S140_L001_R1_001.fastq.gz";1;"SRR6489713";"BC16"
"BC171";"D_16";"D";"sarasinorum";"13.0259";"77.5643";"BC171_S169_L001_R1_001.fastq.gz";1;NA;"BC171"
"BC172";"D_16";"D";"sarasinorum";"13.0259";"77.5643";"BC172_S170_L001_R1_001.fastq.gz";1;NA;"BC172"
"BC177";"D_24";"D";"sarasinorum";"13.0259";"77.5643";"BC177_S171_L001_R1_001.fastq.gz";1;"SRR6489639";"BC177"
"BC178";"neg";"neg";"neg";"neg";"neg";"neg";1;NA;"BC178"
"BC39";"B_11";"B";"sarasinorum";"15.4872";"74.976";"BC39_S141_L001_R1_001.fastq.gz";1;"SRR6489685";"BC39"
"BC54";"C_1";"C";"sarasinorum";"15.4872";"74.976";"BC54_S142_L001_R1_001.fastq.gz";1;"SRR6489660";"BC54"
"BC5";"A_1";"A";"sarasinorum";"14.7825";"74.5723";"BC5_S138_L001_R1_001.fastq.gz";1;"SRR6489708";"BC5"
"BC64";"C_12";"C";"sarasinorum";"15.4872";"74.976";"BC64_S143_L001_R1_001.fastq.gz";1;"SRR6489667";"BC64"
"BC71";"C_26";"C";"sarasinorum";"15.4872";"74.976";"BC71_S145_L001_R1_001.fastq.gz";1;"SRR6489655";"BC71"
"BC73";"C_26";"C";"sarasinorum";"15.4872";"74.976";"BC73_S146_L001_R1_001.fastq.gz";1;"SRR6489654";"BC73"
"BC75";"E_1";"E";"sarasinorum";"13.0259";"77.5643";"BC75_S147_L001_R1_001.fastq.gz";1;"SRR6489729";"BC75"
"BC80";"E_3";"E";"sarasinorum";"13.0259";"77.5643";"BC80_S148_L001_R1_001.fastq.gz";1;"SRR6489726";"BC80"
"M537";"KRU_3";"KRU";"dumicola";"-22.998057";"31.337268";"M537_S18_L001_R1_001.fastq.gz";1;"SRR6489478";"M537"
"M538";"KRU_3";"KRU";"dumicola";"-22.998057";"31.337268";"M538_S19_L001_R1_001.fastq.gz";1;"SRR6489475";"M538"
"M541";"ADDO_6a";"ADDO";"dumicola";"-33.446046";"25.730218";"M541_S21_L001_R1_001.fastq.gz";1;"SRR6489497";"M541"
"M542";"ADDO_6a";"ADDO";"dumicola";"-33.446046";"25.730218";"M542_S22_L001_R1_001.fastq.gz";1;"SRR6489454";"M542"
"M572";"WEE_40";"WEE";"mimosarum";"-28.825515";"29.958577";"M572_S81_L001_R1_001.fastq.gz";1;"SRR6489566";"M572"
"M573";"WEE_40";"WEE";"mimosarum";"-28.825515";"29.958577";"M573_S82_L001_R1_001.fastq.gz";1;"SRR6489533";"M573"
"M593";"KRU_21";"KRU";"dumicola";"-22.945606";"31.241575";"M593_S30_L001_R1_001.fastq.gz";1;"SRR6489479";"M593"
"M601";"KRU_18";"KRU";"dumicola";"-22.954139";"31.248386";"M601_S31_L001_R1_001.fastq.gz";1;"SRR6489457";"M601"
"M602";"KRU_18";"KRU";"dumicola";"-22.954139";"31.248386";"M602_S32_L001_R1_001.fastq.gz";1;"SRR6489456";"M602"
"M640";"ADDO_6C";"ADDO";"dumicola";"-33.446046";"25.730218";"M640_S20_L001_R1_001.fastq.gz";1;"SRR6489498";"M640"
"M855";"PAA_3";"PAA";"dumicola";"-33.77668333";"18.95586667";"M855_S33_L001_R1_001.fastq.gz";1;"SRR6489445";"M855"
"M856";"PAA_3";"PAA";"dumicola";"-33.77668333";"18.95586667";"M856_S34_L001_R1_001.fastq.gz";1;"SRR6489440";"M856"
"M862";"PAA_5";"PAA";"dumicola";"-33.77651667";"18.95611667";"M862_S35_L001_R1_001.fastq.gz";1;"SRR6489439";"M862"
"M897";"PAA_2";"PAA";"dumicola";"-33.79816667";"18.87153333";"M897_S36_L001_R1_001.fastq.gz";1;"SRR6489443";"M897"
"NegE";"neg";"neg";"neg";"neg";"neg";"neg";1;NA;"NegE"
"NegV";"neg";"neg";"neg";"neg";"neg";"neg";1;NA;"NegV"
"X236";"MAH_3";"MAH";"mimosarum";"-21.835084";"46.89159";"X236_S37_L001_R1_001.fastq.gz";1;"SRR6489542";"X236"
"X237";"MAH_3";"MAH";"mimosarum";"-21.835084";"46.89159";"X237_S38_L001_R1_001.fastq.gz";1;"SRR6489541";"X237"
"X238";"MAH_3";"MAH";"mimosarum";"-21.835084";"46.89159";"X238_S39_L001_R1_001.fastq.gz";1;"SRR6489544";"X238"
"X244";"MAH_5";"MAH";"mimosarum";"-21.835043";"46.890558";"X244_S40_L001_R1_001.fastq.gz";1;"SRR6489543";"X244"
"X245";"MAH_5";"MAH";"mimosarum";"-21.835043";"46.890558";"X245_S41_L001_R1_001.fastq.gz";1;NA;"X245"
"X246";"MAH_5";"MAH";"mimosarum";"-21.835043";"46.890558";"X246_S42_L001_R1_001.fastq.gz";1;"SRR6489538";"X246"
"X255";"MAH_8";"MAH";"mimosarum";"-21.828757";"46.862997";"X255_S43_L001_R1_001.fastq.gz";1;"SRR6489537";"X255"
"X256";"MAH_8";"MAH";"mimosarum";"-21.828757";"46.862997";"X256_S44_L001_R1_001.fastq.gz";1;"SRR6489540";"X256"
"X257";"MAH_8";"MAH";"mimosarum";"-21.828757";"46.862997";"X257_S45_L001_R1_001.fastq.gz";1;"SRR6489539";"X257"
"X259";"MAH_9";"MAH";"mimosarum";"-21.828414";"46.861464";"X259_S46_L001_R1_001.fastq.gz";1;"SRR6489546";"X259"
"X261";"MAH_9";"MAH";"mimosarum";"-21.828414";"46.861464";"X261_S47_L001_R1_001.fastq.gz";1;"SRR6489545";"X261"
"X281";"SAK_17";"SAK";"mimosarum";"-22.516216";"45.530495";"X281_S51_L001_R1_001.fastq.gz";1;"SRR6489560";"X281"
"X282";"SAK_17";"SAK";"mimosarum";"-22.516216";"45.530495";"X282_S52_L001_R1_001.fastq.gz";1;"SRR6489557";"X282"
"X399";"ADDO_1";"ADDO";"dumicola";"-33.446485";"25.729542";"X399_S175_L001_R1_001.fastq.gz";1;"SRR6489494";"X399"
"X401";"ADDO_1";"ADDO";"dumicola";"-33.446485";"25.729542";"X401_S176_L001_R1_001.fastq.gz";1;"SRR6489493";"X401"
"X402";"ADDO_1";"ADDO";"dumicola";"-33.446485";"25.729542";"X402_S3_L001_R1_001.fastq.gz";1;"SRR6489496";"X402"
"X411";"WEE_26";"WEE";"mimosarum";"-28.844693";"29.979695";"X411_S75_L001_R1_001.fastq.gz";1;"SRR6489531";"X411"
"X413";"WEE_26";"WEE";"mimosarum";"-28.844693";"29.979695";"X413_S76_L001_R1_001.fastq.gz";1;"SRR6489535";"X413"
"X415";"WEE_29";"WEE";"dumicola";"-28.808757";"29.940462";"X415_S4_L001_R1_001.fastq.gz";1;"SRR6489462";"X415"
"X416";"WEE_29";"WEE";"dumicola";"-28.808757";"29.940462";"X416_S5_L001_R1_001.fastq.gz";1;"SRR6489464";"X416"
"X417";"WEE_29";"WEE";"dumicola";"-28.808757";"29.940462";"X417_S6_L001_R1_001.fastq.gz";1;"SRR6714241";"X417"
"X423";"WEE_39";"WEE";"dumicola";"-28.825537";"29.958478";"X423_S7_L001_R1_001.fastq.gz";1;"SRR6489463";"X423"
"X424";"WEE_39";"WEE";"dumicola";"-28.825537";"29.958478";"X424_S8_L001_R1_001.fastq.gz";1;"SRR6489485";"X424"
"X425";"WEE_39";"WEE";"dumicola";"-28.825537";"29.958478";"X425_S9_L001_R1_001.fastq.gz";1;"SRR6489483";"X425"
"X435";"PON_61";"PON";"dumicola";"-27.363147";"31.877365";"X435_S10_L001_R1_001.fastq.gz";1;"SRR6489461";"X435"
"X436";"PON_61";"PON";"dumicola";"-27.363147";"31.877365";"X436_S11_L001_R1_001.fastq.gz";1;"SRR6489465";"X436"
"X478";"WEE_20";"WEE";"dumicola";"-28.867625";"30.001363";"X478_S12_L001_R1_001.fastq.gz";1;"SRR6489466";"X478"
"X479";"WEE_20";"WEE";"dumicola";"-28.867625";"30.001363";"X479_S13_L001_R1_001.fastq.gz";1;"SRR6489467";"X479"
"X480";"WEE_20";"WEE";"dumicola";"-28.867625";"30.001363";"X480_S14_L001_R1_001.fastq.gz";1;"SRR6489468";"X480"
"X548";"PON_56";"PON";"dumicola";"-27.354406";"31.879969";"X548_S15_L001_R1_001.fastq.gz";1;"SRR6489458";"X548"
"X550";"PON_56";"PON";"dumicola";"-27.354406";"31.879969";"X550_S17_L001_R1_001.fastq.gz";1;NA;"X550"
"M523";"PON_52";"PON";"mimosarum";"-27.323724";"31.875004";"M523_S135_L001_R1_001.fastq.gz";2;"SRR6489529";"M523"
"M536";"KRU_3";"KRU";"dumicola";"-22.998057";"31.337268";"x";2;NA;"M536"
"M558";"ADDO_15";"ADDO";"dumicola";"-33.442821";"25.737211";"M558_S89_L001_R1_001.fastq.gz";2;"SRR6714242";"M558"
"M559";"ADDO_15";"ADDO";"dumicola";"-33.442821";"25.737211";"M559_S90_L001_R1_001.fastq.gz";2;NA;"M559"
"M560";"ADDO_15";"ADDO";"dumicola";"-33.442821";"25.737211";"M560_S91_L001_R1_001.fastq.gz";2;NA;"M560"
"M585";"WEE_25";"WEE";"mimosarum";"-28.840157";"30.003504";"M585_S137_L001_R1_001.fastq.gz";2;NA;"M585"
"M589";"KRU_27";"KRU";"dumicola";"-22.940936";"31.242621";"M589_S93_L001_R1_001.fastq.gz";2;"SRR6489480";"M589"
"M590";"KRU_27";"KRU";"dumicola";"-22.940936";"31.242621";"M590_S94_L001_R1_001.fastq.gz";2;"SRR6489477";"M590"
"M598";"PON_44";"PON";"dumicola";"-27.339273";"31.917802";"M598_S95_L001_R1_001.fastq.gz";2;NA;"M598"
"M599";"PON_44";"PON";"dumicola";"-27.339273";"31.917802";"M599_S96_L001_R1_001.fastq.gz";2;NA;"M599"
"M600";"PON_44";"PON";"dumicola";"-27.339273";"31.917802";"M600_S97_L001_R1_001.fastq.gz";2;NA;"M600"
"M638";"ADDO_6C";"ADDO";"dumicola";"-33.446046";"25.730218";"M638_S101_L001_R1_001.fastq.gz";2;NA;"M638"
"M639";"ADDO_6C";"ADDO";"dumicola";"-33.446046";"25.730218";"M639_S102_L001_R1_001.fastq.gz";2;NA;"M639"
"M662";"PON_55";"PON";"dumicola";"-27.332273";"31.872024";"M662_S103_L001_R1_001.fastq.gz";2;"SRR6489437";"M662"
"M663";"PON_55";"PON";"dumicola";"-27.332273";"31.872024";"M663_S104_L001_R1_001.fastq.gz";2;"SRR6489469";"M663"
"M664";"PON_55";"PON";"dumicola";"-27.332273";"31.872024";"M664_S105_L001_R1_001.fastq.gz";2;"SRR6489470";"M664"
"M754";"PON_37";"PON";"dumicola";"-27.338737";"31.917223";"M754_S106_L001_R1_001.fastq.gz";2;"SRR6489438";"M754"
